Sand,Clay,Silt,pH,EC,N,,K,SoilType
42.0,38.0,20.0,5.162,0.274,14.462366,42.6142436,176.4,Sandy clay loam
54.0,26.0,20.0,6.071,0.355,14.587814,74.97949373,216.0,Sandy loam
28.0,36.0,36.0,6.921,0.675,14.910394,43.566162250000005,219.6,Clay loam
58.0,20.0,22.0,7.704,0.355,4.21147,14.37397734,139.2,Sandy loam
33.2,41.2,25.6,7.609,0.392,6.111111,15.008591299999999,273.59999999999997,Clay
29.2,46.8,24.0,6.504,0.349,6.021505,32.77774783,277.2,Clay
37.2,34.8,28.0,6.466,0.975,35.555556,33.09505252,219.6,Clay loam
26.8,47.2,26.0,5.696,0.21,4.784946,27.700845310000002,324.0,Clay
29.2,44.8,26.0,6.056,0.266,3.512545,22.94124977,252.0,Clay
31.2,32.8,36.0,7.551,0.483,9.032258,11.200914410000001,190.79999999999998,Clay loam
29.6,44.8,25.6,7.502,0.445,6.702509,12.78744702,450.0,Clay
43.2,26.8,30.0,6.627,0.774,5.681004,32.460440850000005,151.2,Loam
47.2,28.8,24.0,6.881,0.72,4.354839,12.78744702,180.0,Sandy clay loam
51.6,20.8,27.6,7.794,0.448,4.21147,6.12401189,124.8,Sandy loam
42.0,24.0,34.0,7.95,0.397,2.91,34.5103,202.79999999999998,Loam
18.0,38.0,44.0,7.85,0.517,2.55,37.8537,400.8,Clay loam
22.0,42.0,36.0,7.76,0.58,1.06,36.5713,294.0,Clay
32.0,36.0,32.0,7.79,0.536,2.16,32.3348,344.4,Clay loam
32.0,18.0,50.0,7.76,0.604,11.36,84.73,196.79999999999998,Silt loam
32.0,22.0,46.0,7.44,0.541,2.69,18.617700000000003,154.79999999999998,Loam
42.0,20.0,38.0,7.89,0.545,9.2,23.2893,181.2,Loam
28.0,42.0,30.0,7.75,0.473,2.47,17.816200000000002,338.4,Clay
14.0,58.0,28.0,7.53,0.474,4.05,24.5946,620.4,Clay
26.0,38.0,36.0,8.03,0.4,3.39,3.8701,306.0,Clay loam
14.0,58.0,28.0,7.21,0.515,2.29,19.579500000000003,482.4,Clay
42.0,36.0,22.0,7.15,0.415,2.16,107.3781,572.4,Sandy clay loam
24.0,52.0,24.0,7.73,0.491,0.88,19.1902,436.8,Clay
34.0,40.0,26.0,5.92,0.269,1.14,16.2132,201.6,Clay
18.0,44.0,38.0,7.69,0.639,1.23,9.3432,416.4,Clay
26.0,28.0,46.0,7.6,0.604,0.48,7.5112,448.8,Clay loam
36.0,22.0,42.0,8.01,0.396,2.86,7.2822000000000005,184.79999999999998,Loam
32.0,22.0,46.0,7.95,0.413,2.77,9.2058,235.2,Loam
34.0,40.0,26.0,6.15,0.299,8.72,27.4113,236.39999999999998,Clay
36.0,36.0,28.0,5.69,0.174,1.45,18.549,177.6,Clay loam
40.0,28.0,32.0,7.86,0.423,5.81,16.6483,252.0,Clay loam
52.0,16.0,32.0,8.07,0.49,8.28,16.4422,295.2,Loam
26.0,42.0,32.0,7.81,0.386,6.56,10.6485,327.59999999999997,Clay
40.0,26.0,34.0,7.8,0.37,4.27,17.7704,220.79999999999998,Loam
30.0,44.0,26.0,6.62,0.285,3.7,19.762700000000002,187.2,Clay
16.0,44.0,40.0,7.22,0.42,3.08,17.9994,265.2,Silty clay
34.0,30.0,36.0,7.84,0.448,14.4,135.7741,1449.6,Clay loam
14.0,40.0,46.0,8.05,0.336,3.83,7.5112,116.39999999999999,Silty clay
12.0,54.0,34.0,7.8,0.425,3.96,9.480599999999999,328.8,Clay
18.0,44.0,38.0,7.79,0.611,4.49,32.4264,433.2,Clay
22.0,32.0,46.0,7.96,0.411,4.98,32.9531,832.8,Clay loam
22.0,38.0,40.0,7.88,0.538,4.58,25.281599999999997,954.0,Clay loam
26.0,34.0,40.0,7.89,0.46,4.4,22.3962,684.0,Clay loam
38.0,28.0,34.0,8.12,0.414,5.06,18.0223,367.2,Clay loam
14.0,34.0,52.0,7.93,0.417,5.5,46.0061,470.4,Clay loam
16.0,52.0,32.0,7.79,0.429,7.88,14.4041,398.4,Clay
34.0,30.0,36.0,6.17,0.415,3.65,130.1636,273.59999999999997,Clay loam
36.0,28.0,36.0,6.69,0.578,2.86,130.2094,192.0,Clay loam
