nitrogen,phosphorus,potassium,temp_rec,hum_rec,ph,rainfall,temp_data,hum_data,soil_type,moist
nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,temperature,humidity,soil_type,moist
71,54,16,22.61,63.69,5.75,87.76,26.0,52.0,Sandy,38.0
71,54,16,22.61,63.69,5.75,87.76,31.0,62.0,Sandy,48.0
71,54,16,22.61,63.69,5.75,87.76,26.0,52.0,Sandy,44.0
71,54,16,22.61,63.69,5.75,87.76,33.0,64.0,Sandy,51.0
71,54,16,22.61,63.69,5.75,87.76,30.0,60.0,Sandy,47.0
71,54,16,22.61,63.69,5.75,87.76,28.0,54.0,Sandy,25.0
71,54,16,22.61,63.69,5.75,87.76,30.63,61.45,Black,23.18
71,54,16,22.61,63.69,5.75,87.76,29.04,71.09,Sandy,21.12
71,54,16,22.61,63.69,5.75,87.76,25.83,51.1,Sandy,59.57
71,54,16,22.61,63.69,5.75,87.76,25.4,43.57,Red,38.51
71,54,16,22.61,63.69,5.75,87.76,31.03,69.0,Loamy,49.46
71,54,16,22.61,63.69,5.75,87.76,31.78,44.27,Loamy,45.07
71,54,16,22.61,63.69,5.75,87.76,21.78,55.6,Loamy,33.66
71,54,16,22.61,63.69,5.75,87.76,38.4,67.88,Clayey,62.06
71,54,16,22.61,63.69,5.75,87.76,26.75,58.1,Clayey,39.27
71,54,16,22.61,63.69,5.75,87.76,22.59,45.7,Black,33.13
71,54,16,22.61,63.69,5.75,87.76,36.5,65.85,Loamy,42.33
71,54,16,22.61,63.69,5.75,87.76,35.13,65.69,Black,37.76
71,54,16,22.61,63.69,5.75,87.76,30.06,53.68,Sandy,70.0
71,54,16,22.61,63.69,5.75,87.76,25.93,54.07,Loamy,23.84
71,54,16,22.61,63.69,5.75,87.76,26.47,55.37,Sandy,59.34
71,54,16,22.61,63.69,5.75,87.76,36.92,69.78,Clayey,32.64
71,54,16,22.61,63.69,5.75,87.76,32.22,56.29,Black,48.76
71,54,16,22.61,63.69,5.75,87.76,34.51,54.79,Loamy,54.12
71,54,16,22.61,63.69,5.75,87.76,31.75,46.82,Red,37.35
71,54,16,22.61,63.69,5.75,87.76,25.09,54.56,Red,34.08
71,54,16,22.61,63.69,5.75,87.76,31.38,67.84,Loamy,59.74
71,54,16,22.61,63.69,5.75,87.76,29.08,54.19,Clayey,61.72
71,54,16,22.61,63.69,5.75,87.76,31.96,49.13,Loamy,52.38
71,54,16,22.61,63.69,5.75,87.76,34.99,65.23,Clayey,27.62
71,54,16,22.61,63.69,5.75,87.76,37.33,67.17,Loamy,37.59
71,54,16,22.61,63.69,5.75,87.76,33.95,61.0,Clayey,45.29
71,54,16,22.61,63.69,5.75,87.76,33.25,69.66,Sandy,51.62
71,54,16,22.61,63.69,5.75,87.76,32.64,77.53,Clayey,39.18
71,54,16,22.61,63.69,5.75,87.76,31.97,57.04,Loamy,39.26
71,54,16,22.61,63.69,5.75,87.76,37.04,68.38,Red,51.4
71,54,16,22.61,63.69,5.75,87.76,21.93,44.5,Red,63.49
71,54,16,22.61,63.69,5.75,87.76,33.53,60.05,Red,37.18
71,54,16,22.61,63.69,5.75,87.76,31.33,52.44,Black,48.45
